Surrogate_Key,Kids,ShortHikes,LongHikes,Movies_TV,BookClub,GamesNight,PokerNight,Films_Documentaries,CulturalEvents,PlayingSports,WatchingSports,SnowSports,Running,ExerciseBudy,Biking,Camping,Crafting,Geocaching,SinglesActivities,Girls_GuysNightOut,KidsNightOut,SingleParents,FamilyFunNight,IceCreamSocial,FoodieClub,WineAndCheese,PizzaNights,SupperClub,ChocolateTasting,Karaoke,HolidayParties,WaterFights,LAN_Gaming,CommunityService,Entrepreneurship,RockHounding,MusicListening,JamSessions,Anime,Introvert,Extrovert,Restaurants,Bars,Libraries,Short_Walks,Smokers,Drinkers,Fashion_Conscious,Religous_Discussions,Political_Discussions,Liberal_Views,Conservative_Views,Thrifty_Activities,Extravagant_Activities,Watching_Sports,Hanging_Out,Big_Crowds,Loud_Crowds,Num_Daughters,Min_Daugthers,Max_Daughters,Num_Sons,Min_Sons,Max_Sons,Officer,Facebook,PlanEvent,ConnectPeople,TechnicalHelp,Club_Board,Actively_making_friends,Helping_others_connect,,Daughter1,Daughter2,Daughter3,Daughter4,Daughter5,Daughter6,Daughter7,Daughter8,Son1,Son2,Son3,Son4,Son5,Son6,Son7,Son8,Order,Rank,Cluster,Email
1_Alabama_Alexander_City,1,0,0,0.5,1,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,0,0.5,0,0.5,1,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,2,2005,2010,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,0,0,john.weeks@gmail.com
2_Alabama_Andalusia,1,1,0.5,1,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,1,0,0,0,0.5,0.5,0,0.5,0,0.5,1,0,0,0,0,0.5,1,0,0.5,0,0,1,0,0,0,1,1,1,1,1,0,1,0.5,0.5,0,0,1,1,1,1,1,1,1,1,2010,2010,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,daybreaksocialcircles@gmail.com
3_Alabama_Anniston,0,1,1,0.5,1,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0,0.5,1,0,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0,0,1,0,0.5,1,0,1,0.5,1,1,0,0.5,0.5,0.5,0.5,1,0,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,3,0,0,dsc.email.200@gmail.com
4_Alabama_Athens,1,1,0.5,0.5,1,1,0,0.5,1,0,0,1,1,0,0.5,0,0,0,0,0,0,0,1,1,1,0,0.5,1,1,0,1,0.5,0,1,0,0,1,0,0,0.5,0,1,0,0.5,1,0,0,0.5,1,0.5,0.5,0.5,1,1,0.5,1,0.5,0,2,2004,2007,1,2001,2001,,,,1,,,,,,2001,,,,,,,,,,,,,,,,4,0,0,dsc.email.300@gmail.com
5_Alabama_Atmore,1,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,2,2000,2008,1,,,,,1,1,,,2015,,,,,,,,,,,,,,,,5,0,0,john.weeks@gmail.com
6_Alabama_Auburn,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,1,1,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1,1,1,0,0,0,0,0,0,1,,1,,1,,,,,,,,,,,,,2001,2003,,,,,,,6,0,0,daybreaksocialcircles@gmail.com
7_Alabama_Bessemer,0,1,0,1,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,1,0,0.5,0,0,0.5,0,0,1,0,0,0,0.5,1,1,0.5,1,0,1,0.5,0.5,0.5,1,0,1,1,0,1,0,0.5,0,0,0,0,0,0,,,,,,,1,,,,,,,,,,,2005,2010,,,,,,,7,0,0,dsc.email.200@gmail.com
8_Alabama_Birmingham,1,1,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,0.5,1,0,1,0.5,0,1,0.5,0,0,0,0.5,0,0,0.5,0,0,1,0,1,1,1,1,0,1,0.5,0,0,0.5,0.5,1,1,0,1,0,0,1,2008,2008,0,0,0,,,,,1,,1,1,,1997,1999,2007,,,,,,2009,,,,,,,,8,0,0,dsc.email.300@gmail.com
9_Alabama_Chickasaw,1,1,1,0.5,1,0.5,0,0.5,0.5,1,1,0,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0,0.5,0,0.5,0,0,1,0.5,0,0.5,0,0,0.5,0,1,0.5,1,1,0,1,0,1,1,1,0.5,1,0.5,1,1,0.5,0,1,2017,2017,1,2015,2015,,,,,,,,,,,,,,,,,,2014,2018,,,,,,,9,0,0,john.weeks@gmail.com
10_Alabama_Clanton,1,1,0,1,0.5,1,1,1,0.5,0,0,0,0,0,0,0,0.5,0,0,1,1,0,1,1,1,1,1,0.5,0,0.5,1,0,0,0,0,0,1,0,0,0,0.5,1,1,0.5,1,0,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1,1,2,2001,2010,2,2001,2010,,1,,,,,1,1,,,,,,,,,,,,,,,,,,10,0,0,daybreaksocialcircles@gmail.com
